col0,col1,col2,col3,col4,col5,col6
1987 NHL Entry Draft,National Hockey League,Detroit,ice hockey,1988 NHL Entry Draft,Pierre Turgeon,Joe Louis Arena
2004 NHL Entry Draft,National Hockey League,Raleigh,ice hockey,2005 NHL Entry Draft,Alexander Ovechkin,PNC Arena
1989 NHL Entry Draft,National Hockey League,Bloomington,ice hockey,1990 NHL Entry Draft,Mats Sundin,Met Center
1991 NHL Entry Draft,National Hockey League,Buffalo,ice hockey,1992 NHL Entry Draft,Eric Lindros,Buffalo Memorial Auditorium
1979 NHL Entry Draft,National Hockey League,Montreal,ice hockey,1980 NHL Entry Draft,Rob Ramage,Queen Elizabeth Hotel
1968 NHL Amateur Draft,National Hockey League,Montreal,ice hockey,1969 NHL Amateur Draft,Michel Plasse,Queen Elizabeth Hotel
1978 NHL Amateur Draft,National Hockey League,Montreal,ice hockey,1979 NHL Entry Draft,Bobby Smith,Queen Elizabeth Hotel
1963 NHL Amateur Draft,National Hockey League,Montreal,ice hockey,1964 NHL Amateur Draft,Garry Monahan,Queen Elizabeth Hotel
1969 NHL Amateur Draft,National Hockey League,Montreal,ice hockey,1970 NHL Amateur Draft,Réjean Houle,Queen Elizabeth Hotel
1970 NHL Amateur Draft,National Hockey League,Montreal,ice hockey,1971 NHL Amateur Draft,Gilbert Perreault,Queen Elizabeth Hotel
