col0,col1,col2,col3,col4,col5,col6
Mile End tube station,Mile End,Central line,London Underground station,1902-06-02,London Underground,Stratford station
Charing Cross tube station,Charing Cross,Bakerloo line,underground railway station,1906-01-01,Charing Cross railway station,Piccadilly Circus tube station
Mile End tube station,Mile End,Central line,underground railway station,1902-06-02,London Underground,Stratford station
Rotherhithe railway station,Rotherhithe,East London Line,London Underground station,1869-01-01,London Underground,Canada Water station
Watford tube station,Watford,Metropolitan line,London Underground station,1925-01-01,London Underground,Croxley tube station
Kenton railway station,Kenton,Watford DC Line,London Underground station,1912-01-01,London Overground,Harrow & Wealdstone station
Tufnell Park tube station,Tufnell Park,Northern line,London Underground station,1907-01-01,London Underground,Archway tube station
Hammersmith tube station,Hammersmith,Circle line,London Underground station,1864-06-13,London Underground,Goldhawk Road tube station
Tufnell Park tube station,Tufnell Park,Northern line,underground railway station,1907-01-01,London Underground,Archway tube station
Waterloo tube station,Waterloo,Bakerloo line,underground railway station,1898-01-01,London Waterloo station,Southwark tube station
