col0,col1,col2,col3,col4
"Mariensäule, Fehring",Austria,Fehring,Denkmalgeschütztes Objekt,Maria column
Maria Column,Austria,Wiesmath,Denkmalgeschütztes Objekt,Maria column
Mariensäule,Austria,Ulrichskirchen-Schleinbach,Denkmalgeschütztes Objekt,Maria column
Mariensäule Herrenplatz,Austria,St. Pölten,Denkmalgeschütztes Objekt,Maria column
Maria Immaculata,Austria,Retz,Denkmalgeschütztes Objekt,Maria column
Plague column in Ernstbrunn,Austria,Ernstbrunn,Denkmalgeschütztes Objekt,Maria column
Mariensäule,Austria,Neudorf im Weinviertel,Denkmalgeschütztes Objekt,Maria column
Maria column in Hostěradice,Czech Republic,Hostěradice,cultural monument of the Czech Republic,plague column
Maria column in Litomyšl,Czech Republic,Litomyšl-Město,cultural monument of the Czech Republic,Maria column
Mariánský sloup,Czech Republic,Krasonice,cultural monument of the Czech Republic,Maria column
Maria column in Jihlava,Czech Republic,Jihlava,cultural monument of the Czech Republic,Maria column
Statue of Virgin Mary of Einsiedeln in Prague,Czech Republic,Hradčany,cultural monument of the Czech Republic,Maria column
