col0,col1,col2,col3,col4
Humla District,5655,district of Nepal,50858,Karnali Zone
Dolakha District,2191,district of Nepal,186557,Bagmati
Jumla District,2531,district of Nepal,108921,Karnali Zone
Mahottari District,1002,district of Nepal,627580,Janakpur Zone
Saptari District,1363,district of Nepal,639284,Sagarmatha Zone
Ramechhap District,1546,district of Nepal,202646,Bagmati
Dolpa District,7889,district of Nepal,36700,Karnali Zone
Bara District,1190,district of Nepal,687708,Narayani Zone
Rasuwa District,1544,district of Nepal,43300,Bagmati
Darchula District,2322,district of Nepal,133274,Sudurpashchim Pradesh
