col0,col1,col2,col3,col4
Paanajärvi National Park,1044.73,Russia,national park of Russia,IUCN category II: National Park
Mariy Chodra National Park,365.93,Russia,national park of Russia,IUCN category II: National Park
Nizhnyaya Kama National Park,265.87,Russia,national park of Russia,IUCN category II: National Park
Valdaysky National Park,1585,Russia,national park of Russia,IUCN category II: National Park
Bashkiria National Park,823,Russia,national park of Russia,IUCN category II: National Park
Curonian Spit National Park,66.21,Russia,national park of Russia,IUCN category II: National Park
Tunkinsky National Park,11836.62,Russia,national park of Russia,IUCN category II: National Park
Chavash Varmane Bor National Park,252.02,Russia,national park of Russia,IUCN category II: National Park
Shushensky Bor National Park,39180,Russia,national park of Russia,IUCN category II: National Park
Vodlozersky National Park,4692.85,Russia,national park of Russia,IUCN category II: National Park
