col0,col1,col2,col3,col4,col5
Vista parcial do bairro da Consolação. São Paulo/SP,Werner Haberkorn Collection,6,"Faculty of Public Health, University of São Paulo",Museu Paulista,8.1
Vista parcial do Vale do Anhangabaú. São Paulo/SP,Museu Paulista collection,6,Bank of Brasil building,Museu Paulista,8.1
Vista aérea do centro. São Paulo/SP,Museu Paulista collection,6.5,Bank of Brasil building,Museu Paulista,8.1
Vista parcial do Vale do Anhangabaú. São Paulo/SP,Werner Haberkorn Collection,6,Vale do Anhangabaú,Museu Paulista,8.1
Vista parcial do bairro da Consolação. São Paulo/SP,Werner Haberkorn Collection,6,Faculty of Medicine of the University of São Paulo,Museu Paulista,8.1
Vista parcial do Vale do Anhangabaú. São Paulo/SP,Werner Haberkorn Collection,6,Martinelli Building,Museu Paulista,8.1
Vista pontual de estacionamento,Werner Haberkorn Collection,6,parking lot,Museu Paulista,12.1
Vista aérea da cidade de São Paulo/SP,Werner Haberkorn Collection,6.5,educational institution,Museu Paulista,8.1
Vista aérea da cidade de São Paulo/SP,Werner Haberkorn Collection,6.5,O Estado de São Paulo,Museu Paulista,8.1
Vista aérea da cidade de São Paulo/SP,Werner Haberkorn Collection,6.5,São Paulo Art Biennial,Museu Paulista,8.1
Vista aérea da cidade de São Paulo/SP,Museu Paulista collection,6.5,negative,Museu Paulista,8.1
