col0,col1,col2,col3,col4,col5
"Islay, Dun An Rubha Bhuidhe",United Kingdom,scheduled monument,multiple enclosure hillfort,Islay,Argyll and Bute
"Islay, Trudernish Point",United Kingdom,scheduled monument,multiple enclosure hillfort,Islay,Argyll and Bute
"Barra, Dun Ban",United Kingdom,scheduled monument,promontory fort,Barra,Outer Hebrides
"Hoga Ness, Unst",United Kingdom,scheduled monument,promontory fort,Hoga Ness,Shetland Islands
"Fair Isle, Landberg",United Kingdom,scheduled monument,promontory fort,Fair Isle,Shetland Islands
"Rum, Shellesder",United Kingdom,scheduled monument,promontory fort,Rùm,Highland
"Canna, Rubha Nic Eamoin",United Kingdom,scheduled monument,promontory fort,Canna,Highland
"Canna, Dun Channa",United Kingdom,scheduled monument,promontory fort,Canna,Highland
"Canna, Dun Teadh",United Kingdom,scheduled monument,promontory fort,Canna,Highland
"Ardnamurchan, Camas nan Geall",United Kingdom,scheduled monument,promontory fort,Ardnamurchan,Highland
"Eigg, An Sgurr",United Kingdom,scheduled monument,promontory fort,Eigg,Highland
"Eigg, Poll Duchaill",United Kingdom,scheduled monument,promontory fort,Eigg,Highland
"Seil, Dun Aorain",United Kingdom,scheduled monument,promontory fort,Seil,Argyll and Bute
Dun Nan Gall,United Kingdom,scheduled monument,promontory fort,Tiree,Argyll and Bute
Eilean Na Ba,United Kingdom,scheduled monument,promontory fort,Tiree,Argyll and Bute
