col0,col1,col2,col3,col4,col5,col6
2014 Vattenfall Cyclassics,Europcar 2014,cycling race,Germany,Mark Cavendish,2013 Vattenfall Cyclassics,road bicycle racing
2018 EuroEyes Cyclassics,Katusha-Alpecin 2018,EuroEyes Cyclassics,Germany,John Degenkolb,2017 EuroEyes Cyclassics,road bicycle racing
EuroEyes Cyclassics 2019,2019 Groupama-FDJ,1.UWT,Germany,Peter Sagan,2018 EuroEyes Cyclassics,road bicycle racing
2011 Vattenfall Cyclassics,2011 Quick Step season,EuroEyes Cyclassics,Germany,Grega Bole,2010 Vattenfall Cyclassics,road bicycle racing
2016 EuroEyes Cyclassics,Lotto-Soudal 2016,1.UWT,Germany,Heinrich Haussler,2015 Vattenfall Cyclassics,road bicycle racing
2014 Vattenfall Cyclassics,Trek Factory Racing 2014,EuroEyes Cyclassics,Germany,Mark Cavendish,2013 Vattenfall Cyclassics,road bicycle racing
2018 EuroEyes Cyclassics,Bahrain-Merida 2018,EuroEyes Cyclassics,Germany,John Degenkolb,2017 EuroEyes Cyclassics,road bicycle racing
2014 Vattenfall Cyclassics,Europcar 2014,EuroEyes Cyclassics,Germany,Mark Cavendish,2013 Vattenfall Cyclassics,road bicycle racing
2017 EuroEyes Cyclassics,Bahrain-Merida 2017,EuroEyes Cyclassics,Germany,Jempy Drucker,2016 EuroEyes Cyclassics,road bicycle racing
2016 EuroEyes Cyclassics,FDJ 2016,EuroEyes Cyclassics,Germany,Heinrich Haussler,2015 Vattenfall Cyclassics,road bicycle racing
2015 Vattenfall Cyclassics,Katusha 2015,EuroEyes Cyclassics,Germany,André Greipel,2014 Vattenfall Cyclassics,road bicycle racing
EuroEyes Cyclassics 2019,2019 Groupama-FDJ,EuroEyes Cyclassics,Germany,Peter Sagan,2018 EuroEyes Cyclassics,road bicycle racing
2013 Vattenfall Cyclassics,Vacansoleil-DCM 2013,EuroEyes Cyclassics,Germany,John Degenkolb,2012 Vattenfall Cyclassics,road bicycle racing
