col0,col1,col2,col3,col4
2003 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,2003-08-31
2000 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,2000-07-23
1999 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1999-09-05
1998 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1998-11-01
1997 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1997-07-20
1996 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1996-08-31
1993 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1993-07-24
1988 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1988-07-24
1989 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1989-11-12
1986 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1986-07-20
1985 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1985-07-28
1984 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1984-07-22
1982 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,1982-08-25
2001 Indonesia Open Badminton Championships,Indonesia,badminton,open championship,2001-07-29
