col0,col1,col2,col3,col4,col5
1932 United States presidential election in Pennsylvania,presidential election,President of the United States,1932-11-08,Herbert Hoover,Herbert Hoover
1928 United States presidential election in Pennsylvania,presidential election,President of the United States,1928-11-06,Herbert Hoover,Herbert Hoover
1924 United States presidential election in Pennsylvania,presidential election,President of the United States,1924-11-04,Calvin Coolidge,Calvin Coolidge
1916 United States presidential election in Pennsylvania,presidential election,President of the United States,1916-11-07,Charles Evans Hughes,Charles Evans Hughes
1920 United States presidential election in Pennsylvania,presidential election,President of the United States,1920-11-02,Warren G. Harding,Warren G. Harding
1912 United States presidential election in Pennsylvania,presidential election,President of the United States,1912-11-05,Theodore Roosevelt,Theodore Roosevelt
1904 United States presidential election in Pennsylvania,presidential election,President of the United States,1904-11-08,Theodore Roosevelt,Theodore Roosevelt
1900 United States presidential election in Pennsylvania,presidential election,President of the United States,1900-11-06,William McKinley,William McKinley
1896 United States presidential election in Pennsylvania,presidential election,President of the United States,1896-11-03,William McKinley,William McKinley
1888 United States presidential election in Pennsylvania,presidential election,President of the United States,1888-11-06,Benjamin Harrison,Benjamin Harrison
1884 United States presidential election in Pennsylvania,presidential election,President of the United States,1884-11-04,James G. Blaine,James G. Blaine
