col0,col1,col2,col3,col4,col5
V* VY Sgr,0.3895,5419,2.369,-1.351,273.0190252945346
V* V504 Mon,0.1346,6370,3.219,-0.999,101.1831135293217
V* V495 Mon,0.2015,5591,4.73,-0.192,99.2640991559368
V* MW Cyg,0.6972,5522,1434.3087,-5.101,303.0951241084529
V* V1033 Cyg,0.3389,6025,2950.7229,-5.642,301.3361039364654
V* CD Cyg,0.3808,4979,2626.0504,-5.562,301.1106720195397
2MASS J17274803+0924283,1.3351,4606,749.0076,-9.54,261.9501368803634
TYC 1074-188-1,1.095,4620,913.242,-2.657,306.0178302180979
V* V600 Aql,0.554,5604,1805.0542,-1.653,290.2597734618403
V* V1263 Tau,1.7724,4552,564.2067,-27.215,51.0234597847993
TYC 57-585-1,0.6935,4346,1441.9611,0.867,51.721919503452
V* V2221 Sgr,0.1303,4250,3708.73,-9.374,300.163011382894
V* KQ Sco,0.5039,5643,1984.5207,-2.234,252.9106139444645
UCAC3 215-114594,0.7001,4890,1428.3674,-10.842,168.4548285458789
