col0,col1,col2,col3,col4,col5
2007 French Badminton Championships,Villeneuve-d'Ascq,2006 French Badminton Championships,2008 French Badminton Championships,national championship,France
2005 French Badminton Championships,Quimperlé,2004 French Badminton Championships,2006 French Badminton Championships,national championship,France
1994 French Badminton Championships,Strasbourg,1993 French Badminton Championships,1995 French Badminton Championships,national championship,France
1985 French Badminton Championships,Strasbourg,1983 French Badminton Championships,1986 French Badminton Championships,national championship,France
1972 French Badminton Championships,Le Havre,1971 French Badminton Championships,1973 French Badminton Championships,national championship,France
1968 French Badminton Championships,Le Havre,1967 French Badminton Championships,1969 French Badminton Championships,national championship,France
1967 French Badminton Championships,Paris,1966 French Badminton Championships,1968 French Badminton Championships,national championship,France
1966 French Badminton Championships,Paris,1965 French Badminton Championships,1967 French Badminton Championships,national championship,France
1963 French Badminton Championships,Le Havre,1962 French Badminton Championships,1964 French Badminton Championships,national championship,France
1962 French Badminton Championships,Le Havre,1961 French Badminton Championships,1963 French Badminton Championships,national championship,France
1961 French Badminton Championships,Le Havre,1960 French Badminton Championships,1962 French Badminton Championships,national championship,France
1960 French Badminton Championships,Le Havre,1959 French Badminton Championships,1961 French Badminton Championships,national championship,France
1959 French Badminton Championships,Le Havre,1958 French Badminton Championships,1960 French Badminton Championships,national championship,France
1958 French Badminton Championships,Le Havre,1957 French Badminton Championships,1959 French Badminton Championships,national championship,France
