col0,col1,col2,col3,col4,col5,col6,col7
1971 Federation Cup,Fed Cup,International Tennis Federation,1971-12-26,1971-12-29,tennis tournament edition,women's sports,tennis
1969 Federation Cup,Fed Cup,International Tennis Federation,1969-05-19,1969-05-25,tennis tournament edition,women's sports,tennis
1968 Federation Cup,Fed Cup,International Tennis Federation,1968-05-21,1968-05-26,tennis tournament edition,women's sports,tennis
1966 Federation Cup,Fed Cup,International Tennis Federation,1966-05-10,1966-05-16,tennis tournament edition,women's sports,tennis
1965 Federation Cup,Fed Cup,International Tennis Federation,1965-01-15,1965-01-18,tennis tournament edition,women's sports,tennis
1997 Fed Cup,Fed Cup,International Tennis Federation,1997-01-19,1997-10-04,tennis tournament edition,women's sports,tennis
1985 Federation Cup,Fed Cup,International Tennis Federation,1985-10-06,1985-10-14,tennis tournament edition,women's sports,tennis
1964 Federation Cup,Fed Cup,International Tennis Federation,1964-09-01,1964-09-05,tennis tournament edition,women's sports,tennis
1983 Federation Cup,Fed Cup,International Tennis Federation,1983-07-17,1983-07-24,tennis tournament edition,women's sports,tennis
1963 Federation Cup,Fed Cup,International Tennis Federation,1963-06-17,1963-06-20,tennis tournament edition,women's sports,tennis
1967 Federation Cup,Fed Cup,International Tennis Federation,1967-06-06,1967-06-11,tennis tournament edition,women's sports,tennis
1980 Federation Cup,Fed Cup,International Tennis Federation,1980-05-18,1980-05-25,tennis tournament edition,women's sports,tennis
