col0,col1,col2,col3,col4
Pancrase: King of Pancrase Tournament Second Round,11000,mixed martial arts,mixed martial arts event,1994-12-17
Pride 32,11727,mixed martial arts,mixed martial arts event,2006-10-21
Pride 33,12911,mixed martial arts,mixed martial arts event,2007-02-24
Dream 6,20929,mixed martial arts,mixed martial arts event,2008-09-23
Fight For Japan: Genki Desu Ka Omisoka 2011,24606,mixed martial arts,mixed martial arts event,2011-01-01
Dynamite!! 2010,26729,mixed martial arts,mixed martial arts event,2010-01-01
Dynamite!! 2009,45606,mixed martial arts,mixed martial arts event,2009-01-01
Dynamite!! 2008,25634,mixed martial arts,mixed martial arts event,2008-01-01
Dream 9,15009,mixed martial arts,mixed martial arts event,2009-05-26
Dream 8,9129,mixed martial arts,mixed martial arts event,2009-04-05
Dream 7,19528,mixed martial arts,mixed martial arts event,2009-03-08
Dream 5,11986,mixed martial arts,mixed martial arts event,2008-07-21
Dream 4,14037,mixed martial arts,mixed martial arts event,2008-06-15
