col0,col1,col2,col3,col4,col5
Smikros,Pioneer Group,Classical Athens,red-figure pottery,Ancient Greek,attic vase-painter
Providence Painter,art of Classical Greece,Classical Athens,Greek vases,Ancient Greek,red-figure vase painter
Smikros,Pioneer Group,Classical Athens,Greek vases,Ancient Greek,red-figure vase painter
Varrese Painter,art of Classical Greece,Apulia,Greek vases,Ancient Greek,red-figure vase painter
Lucera Painter,Apulian vase painting,Apulia,Greek vases,Ancient Greek,red-figure vase painter
Providence Painter,art of Classical Greece,Classical Athens,attic vase-painting,Ancient Greek,red-figure vase painter
Smikros,Pioneer Group,Classical Athens,attic vase-painting,Ancient Greek,red-figure vase painter
Providence Painter,art of Classical Greece,Classical Athens,red-figure pottery,Ancient Greek,red-figure vase painter
Smikros,Pioneer Group,Classical Athens,red-figure pottery,Ancient Greek,red-figure vase painter
Varrese Painter,art of Classical Greece,Apulia,red-figure pottery,Ancient Greek,red-figure vase painter
Lucera Painter,Apulian vase painting,Apulia,red-figure pottery,Ancient Greek,red-figure vase painter
Sappho Painter,white ground technique,Classical Athens,Greek vases,Ancient Greek,black-figure vase painter
Painter of the Aachen horsehead,archaic sculpture,Classical Athens,Greek vases,Ancient Greek,black-figure vase painter
Group of Walters 48.42,archaic sculpture,Classical Athens,Greek vases,Ancient Greek,black-figure vase painter
Bellerophon Painter,archaic sculpture,Classical Athens,Greek vases,Ancient Greek,black-figure vase painter
