col0,col1,col2,col3,col4,col5
1991 Vuelta a Aragón,Vuelta a Aragón,1991-04-21,Spain,1992 Vuelta a Aragón,1990 Vuelta a Aragón
1990 Vuelta a Aragón,Vuelta a Aragón,1990-05-27,Spain,1991 Vuelta a Aragón,1989 Vuelta a Aragón
1989 Vuelta a Aragón,Vuelta a Aragón,1989-05-28,Spain,1990 Vuelta a Aragón,1988 Vuelta a Aragón
1988 Vuelta a Aragón,Vuelta a Aragón,1988-05-29,Spain,1989 Vuelta a Aragón,1987 Vuelta a Aragón
1987 Vuelta a Aragón,Vuelta a Aragón,1987-05-31,Spain,1988 Vuelta a Aragón,1986 Vuelta a Aragón
1986 Vuelta a Aragón,Vuelta a Aragón,1986-06-01,Spain,1987 Vuelta a Aragón,1985 Vuelta a Aragón
1985 Vuelta a Aragón,Vuelta a Aragón,1985-05-26,Spain,1986 Vuelta a Aragón,1984 Vuelta a Aragón
1984 Vuelta a Aragón,Vuelta a Aragón,1984-05-27,Spain,1985 Vuelta a Aragón,1983 Vuelta a Aragón
1983 Vuelta a Aragón,Vuelta a Aragón,1983-05-29,Spain,1984 Vuelta a Aragón,1982 Vuelta a Aragón
1982 Vuelta a Aragón,Vuelta a Aragón,1982-05-30,Spain,1983 Vuelta a Aragón,1981 Vuelta a Aragón
1981 Vuelta a Aragón,Vuelta a Aragón,1981-05-23,Spain,1982 Vuelta a Aragón,1980 Vuelta a Aragón
