col0,col1,col2,col3,col4,col5
"Grave Concerns: Death, Landscape, and Locality in Medieval Society",University of Durham,academic conference,2018-07-13,"Grave Concerns: Death, Landscape, and Locality in Medieval Society",Society for Medieval Archaeology Annual Conference
"Women, Status and Power in Medieval Society",University of Lincoln,academic conference,2017-06-30,"Women, Status and Power in Medieval Society",Society for Medieval Archaeology Annual Conference
Neuroscience 2019,McCormick Place,academic conference,2019-10-19,Neuroscience 2019,Neuroscience
Neuroscience 2017,"Washington, D.C.",academic conference,2017-11-11,Neuroscience 2017,Neuroscience
2019 IEEE International Conference on Big Data,Westin Bonaventure Hotel,academic conference,2019-12-09,2019 IEEE International Conference on Big Data,IEEE International Conference on Big Data
25th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,Dena'ina Civic and Convention Center,academic conference,2019-08-04,25th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,ACM SIGKDD Conference on Knowledge Discovery and Data Mining
Thirty-Fourth AAAI Conference on Artificial Intelligence,Hilton New York,academic conference,2020-02-07,Thirty-Fourth AAAI Conference on Artificial Intelligence,AAAI Conference on Artificial Intelligence
'The Long Black Death': New Perspectives,King's Manor,academic conference,2019-07-05,'The Long Black Death': New Perspectives,Society for Medieval Archaeology Annual Conference
The 58th annual meeting of the Association for Computational Linguistics,Hyatt Regency Seattle,academic conference,2020-07-05,The 58th annual meeting of the Association for Computational Linguistics,Annual Meeting of the Association for Computational Linguistics
42nd European Conference on Information Retrieval,New University of Lisbon,academic conference,2020-04-14,42nd European Conference on Information Retrieval,European Conference on Information Retrieval
