col0,col1,col2,col3,col4,col5
In Amenas District,128730,Algeria,In Amenas,district of Algeria,Illizi Province
Es Sénia District,181.56,Algeria,Es Sénia,district of Algeria,Oran Province
Aïn El Turk District,162.76,Algeria,Aïn El Turk,district of Algeria,Oran Province
Aïn Abid District,634.22,Algeria,Aïn Abid,district of Algeria,Constantine Province
Arzew District,123.59,Algeria,Arzew,district of Algeria,Oran Province
Ouled Attia District,239.04,Algeria,Ouled Attia,district of Algeria,Skikda Province
Djanet District,86185,Algeria,Djanet,district of Algeria,Illizi Province
El Abiodh Sidi Cheikh District,33082,Algeria,El Abiodh Sidi Cheikh,district of Algeria,El Bayadh Province
Ouled Brahim District,918.03,Algeria,Ouled Brahim,district of Algeria,Saïda Province
El Hassasna District,1081.97,Algeria,El Hassasna,district of Algeria,Saïda Province
Adrar District,9423,Algeria,Adrar,district of Algeria,Adrar Province
Azzaba District,804.34,Algeria,Azzaba,district of Algeria,Skikda Province
Ramdane Djamel District,158.99,Algeria,Ramdane Djamel,district of Algeria,Skikda Province
