col0,col1,col2,col3,col4,col5
Bandarban District,Bandarban,Chittagong District,Lama Upazila,Chittagong Division,UTC+06:00
Cox's Bazar District,Cox's Bazar,Bandarban District,Pekua Upazila,Chittagong Division,UTC+06:00
Chittagong District,Chittagong,Noakhali District,Raozan Upazila,Chittagong Division,UTC+06:00
Chandpur District,Chandpur Sadar Upazila,Noakhali District,Haimchar Upazila,Chittagong Division,UTC+06:00
Cox's Bazar District,Cox's Bazar,Bandarban District,Cox's Bazar Sadar Upazila,Chittagong Division,UTC+06:00
Chandpur District,Chandpur Sadar Upazila,Noakhali District,Shahrasti Upazila,Chittagong Division,UTC+06:00
Cox's Bazar District,Cox's Bazar,Bandarban District,Teknaf Upazila,Chittagong Division,UTC+06:00
Chittagong District,Chittagong,Noakhali District,Mirsharai Upazila,Chittagong Division,UTC+06:00
Cox's Bazar District,Cox's Bazar,Bandarban District,Ramu Upazila,Chittagong Division,UTC+06:00
Chandpur District,Chandpur Sadar Upazila,Noakhali District,Faridganj Upazila,Chittagong Division,UTC+06:00
Chittagong District,Chittagong,Bandarban District,Banshkhali Upazila,Chittagong Division,UTC+06:00
Cox's Bazar District,Cox's Bazar,Bandarban District,Kutubdia Upazila,Chittagong Division,UTC+06:00
Chandpur District,Chandpur Sadar Upazila,Noakhali District,Matlab South Upazila,Chittagong Division,UTC+06:00
Bogra District,Bogura,Jamalpur District,"Shibganj Upazila, Bogra District",Rajshahi Division,UTC+06:00
