col0,col1,col2,col3,col4,col5
32nd Goya Awards,31st Goya Awards,33rd Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Joaquín Reyes Cano
26th Goya Awards,25th Goya Awards,27th Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Eva Hache
18th Goya Awards,17th Goya Awards,19th Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Cayetana Guillén Cuervo
7th Goya Awards,6th Goya Awards,8th Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Imanol Arias
14th Goya Awards,13th Goya Awards,15th Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Antonia San Juan
20th Goya Awards,19th Goya Awards,21st Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Antonio Resines
3rd Goya Awards,2nd Goya Awards,4th Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Antonio Resines
12th Goya Awards,11th Goya Awards,13th Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,El Gran Wyoming
25th Goya Awards,24th Goya Awards,26th Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Andreu Buenafuente
24th Goya Awards,23rd Goya Awards,25th Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Andreu Buenafuente
18th Goya Awards,17th Goya Awards,19th Goya Awards,Academia de las Artes y las Ciencias Cinematográficas de España,Spain,Diego Luna
