col0,col1,col2,col3,col4,col5
Shari'atmadar School,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Mahmoud Dowlatabadi House,"Dowlatabad, Sabzevar",Iran,national heritage site,Iranian National Heritage,Sabzevar County
Hushmand Garden,"Malvand, Razavi Khorasan",Iran,national heritage site,Iranian National Heritage,Sabzevar County
Bilder-bashi Mausoleum,Fasanqar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Amin-ol-tojjar Mashhadi Tomb,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Torshizi Garden,"Baghan, Razavi Khorasan",Iran,national heritage site,Iranian National Heritage,Sabzevar County
Sadidi House,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Shari'atmadar House 2,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Oskuyi House,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Torshizi House,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Azimian House,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Sang-e Kelidar Caravanserai,Sang-e Kalidar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
