col0,col1,col2,col3,col4
2019 Vuelta del Uruguay,Club Ciclista Centro Uruguay de Vergara,2018 Vuelta del Uruguay,Germán Tivani,Harold Tejada
2018 Vuelta del Uruguay,Team Scott,2017 Vuelta del Uruguay,Agustín Moreira,Gerardo Atencio
2019 Vuelta del Uruguay,2019 Municipalidad de Pocito,2018 Vuelta del Uruguay,Nicolás Naranjo,Hernán Silvera
2018 Vuelta del Uruguay,Club Ciclista Nacional Melo,2017 Vuelta del Uruguay,Agustín Moreira,Gerardo Atencio
2019 Vuelta del Uruguay,2019 Municipalidad de Pocito,2018 Vuelta del Uruguay,Walter Vargas,Hernán Silvera
2017 Vuelta del Uruguay,Alas Rojas de Santa Lucía,2016 Vuelta del Uruguay,Héctor Lucero,Mario José Sosa
2019 Vuelta del Uruguay,2019 Municipalidad de Pocito,2018 Vuelta del Uruguay,Walter Vargas,Harold Tejada
2018 Vuelta del Uruguay,Club Ciclista Nacional Melo,2017 Vuelta del Uruguay,Nicolás Naranjo,Hernán Silvera
2019 Vuelta del Uruguay,2019 Medellín,2018 Vuelta del Uruguay,Cristian Egídio,Harold Tejada
2018 Vuelta del Uruguay,Club Ciclista Nacional Melo,2017 Vuelta del Uruguay,Magno Nazaret,Gerardo Atencio
2019 Vuelta del Uruguay,Club Ciclista Fénix,2018 Vuelta del Uruguay,Nicolás Naranjo,Harold Tejada
2018 Vuelta del Uruguay,Team Scott,2017 Vuelta del Uruguay,Funvic-São José dos Campos 2018,Fernando Gil
2019 Vuelta del Uruguay,2019 Medellín,2018 Vuelta del Uruguay,Hernán Silvera,Eric Fagundez
2018 Vuelta del Uruguay,Club Ciclista Nacional Melo,2017 Vuelta del Uruguay,Nicolás Naranjo,Gerardo Atencio
