col0,col1,col2,col3,col4,col5
Seventeenth Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,Eighteenth Amendment of the Constitution of Ireland,1201952,2688316
Fifteenth Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,Sixteenth Amendment of the Constitution of Ireland,1628570,2628834
Fourth Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,Fifth Amendment of the Constitution of Ireland,856350,1783604
Thirteenth Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,Fourteenth Amendment of the Constitution of Ireland,1659367,2542841
Thirty-First Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,Thirty-second Amendment of the Constitution Bill 2013,1061594,3183606
"Twelfth Amendment of the Constitution Bill, 1992",referendums in Ireland,Ireland,Thirteenth Amendment of the Constitution of Ireland,1651474,2542841
Eighth Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,Ninth Amendment of the Constitution of Ireland,1257369,2358651
Eleventh Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,"Twelfth Amendment of the Constitution Bill, 1992",1449731,2542840
Third Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,Fourth Amendment of the Constitution of Ireland,1253781,1783604
Eighteenth Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,Nineteenth Amendment of the Constitution of Ireland,1510702,2747088
Tenth Amendment of the Constitution of Ireland,referendums in Ireland,Ireland,Eleventh Amendment of the Constitution of Ireland,1080400,2461790
