col0,col1,col2,col3,col4,col5
"Commercial Courts, Commercial Division and Commercial Appellate Division of High Courts",2018-05-03,India,2018-08-20,list of Acts of the Parliament of India for 2018,India
Scheduled Castes and the Scheduled Tribes,2018-08-20,India,2018-08-17,list of Acts of the Parliament of India for 2018,India
Insolvency and Bankruptcy Code,2018-06-06,India,2018-08-17,list of Acts of the Parliament of India for 2018,India
Homoeopathy Central Council,2018-05-18,India,2018-08-13,list of Acts of the Parliament of India for 2018,India
Criminal Law,2018-04-21,India,2018-08-11,list of Acts of the Parliament of India for 2018,India
Negotiable Instruments,2018-09-01,India,2018-08-02,list of Acts of the Parliament of India for 2018,India
Arms,2019-12-14,India,2019-12-13,list of Acts of the Parliament of India for 2019,India
Taxation Laws,2019-09-20,India,2019-12-11,list of Acts of the Parliament of India for 2019,India
National Institute of Design,2020-01-13,India,2019-11-29,list of Acts of the Parliament of India for 2019,India
Motor Vehicles,2019-09-01,India,2019-08-09,list of Acts of the Parliament of India for 2019,India
Unlawful Activities,2019-08-14,India,2019-08-08,list of Acts of the Parliament of India for 2019,India
Insolvency and Bankruptcy Code,2019-08-16,India,2019-08-05,list of Acts of the Parliament of India for 2019,India
