col0,col1,col2,col3,col4,col5
Wierumerschouwsterweg 23,Netherlands,farmhouse,Wierumerschouwsterweg,Adorp,Rijksmonument
"Kleiweg 27, Baambrugge",Netherlands,farmhouse,Kleiweg,Baambrugge,Rijksmonument
"Winkeldijk 29a, Abcoude",Netherlands,farmhouse,Winkeldijk,Abcoude,Rijksmonument
"Winkeldijk 15, Abcoude",Netherlands,farmhouse,Winkeldijk,Abcoude,Rijksmonument
"Gein Zuid 19, Abcoude",Netherlands,farmhouse,Gein-Zuid,Abcoude,Rijksmonument
"Ringdijk 20, Nieuwkoop",Netherlands,farmhouse,Ringdijk,Ter Aar,Rijksmonument
"Romienendiek 9, Aalten",Netherlands,farmhouse,Romienendiek,Aalten,Rijksmonument
"Hillsestraat 2, Babyloniënbroek",Netherlands,farmhouse,Hillsestraat,Babyloniënbroek,Rijksmonument
"Berenhoeksestraat 8, Aalburg",Netherlands,farmhouse,Berenhoeksestraat,Wijk en Aalburg,Rijksmonument
"Gein Zuid 46, Abcoude",Netherlands,farmhouse,Gein-Zuid,Abcoude,Rijksmonument
