col0,col1,col2,col3,col4
Leno,Leno constituency,65.604,14322.0,Leno
Gaeta,Duchy of Gaeta,2.004,20586.09,Gaeta
Carlofote,San Pietro Island,9.94,6129.789,Carloforte
Bagnolo Mela,Bagnolo constituency,85.85,12562.907,Bagnolo Mella
Vrallo Sesia,circle of Valsesia,460.1039999999999,7153.145999999999,Varallo
San Svero,circondario of San Severo,89.46,53068.01499999999,San Severo
Alba,Republic of Alba,172.0,31466.502,Alba
Seborga,Principality of Seborga,495.0,299.07899999999995,Seborga
Sat'Antioco,Ìsola di Sant'Antìoco,10.08,11207.759999999998,Sant'Antioco
Rovereto,Community of Vallagarina,203.388,39482.0,Rovereto
