col0,col1,col2,col3,col4
Indian Journal of Nephrology,nephrology,India,society journal,Directory of Open Access Journals
Indian Journal of Medical Sciences,medicine,India,society journal,Directory of Open Access Journals
Indian Journal of Medical Microbiology,microbiology,India,society journal,Directory of Open Access Journals
Indian Journal of Dental Research,dentistry,India,society journal,Directory of Open Access Journals
Indian Journal of Community Medicine,biochemistry,India,society journal,Directory of Open Access Journals
Journal of Vision,ophthalmology,United States of America,scientific journal,Directory of Open Access Journals
Journal of Veterinary Science,animal science,Korea,scientific journal,Directory of Open Access Journals
Journal of Postgraduate Medicine,medicine,India,scientific journal,Directory of Open Access Journals
Journal of Medical Physics,computer science,India,scientific journal,Directory of Open Access Journals
Journal of Indian Society of Pedodontics and Preventive Dentistry,geology,India,scientific journal,Directory of Open Access Journals
Journal of Indian Association of Pediatric Surgeons,pediatrics,India,scientific journal,Directory of Open Access Journals
