col0,col1,col2,col3,col4,col5,col6
A126 autoroute,France,Palaiseau,French autoroute,DIR Île-de-France,French autoroute,Essonne
A12 autoroute,France,Bailly,French autoroute,DIR Île-de-France,French autoroute,Yvelines
A115 autoroute,France,Sannois,French autoroute,DIR Île-de-France,French autoroute,Val-d'Oise
A11 autoroute,France,Nantes,French autoroute,Autoroutes du Sud de la France,French autoroute,Yvelines
A811 autoroute,France,Carquefou,French autoroute,DIR Ouest,French autoroute,Loire-Atlantique
A813 autoroute,France,Banneville-la-Campagne,French autoroute,Société des Autoroutes de Paris Normandie,French autoroute,Calvados
A623 autoroute,France,Ramonville-Saint-Agne,French autoroute,DIR Sud-Ouest,French autoroute,Haute-Garonne
A466 autoroute,France,Les Chères,French autoroute,Autoroutes Paris-Rhin-Rhône,French autoroute,Rhône
A304 autoroute,France,La Francheville,French autoroute,DIR Nord,French autoroute,Ardennes
A701 autoroute,France,Saran,French autoroute,Cofiroute,French autoroute,Loiret
A391 autoroute,France,Bersaillin,French autoroute,Autoroutes Paris-Rhin-Rhône,French autoroute,Jura
A103 autoroute,France,Rosny-sous-Bois,French autoroute,DIR Île-de-France,French autoroute,Seine-Saint-Denis
A54 autoroute,France,Salon-de-Provence,French autoroute,Autoroutes du Sud de la France,French autoroute,Bouches-du-Rhône
A9 autoroute,France,Orange,French autoroute,Autoroutes du Sud de la France,French autoroute,Aude
