col0,col1,col2,col3,col4,col5,col6
1975 Prueba Vilafranca de Ordizia,Pierre-Raymond Villemiane,1975/01/01,road bicycle racing,Spain,1974 Prueba Villafranca de Ordizia,1976 Prueba Villafranca de Ordizia
1974 Pruea Villafranca de Ordizia,José Pesarrodona,1974/01/01,road bicycle racing,Spain,1973 Prueba Villafranca de Ordizia,1975 Prueba Villafranca de Ordizia
1<73 Prueba Villafranca de Ordizia,Francisco Galdós,1973/01/01,road bicycle racing,Spain,1972 Prueba Villafranca de Ordizia,1974 Prueba Villafranca de Ordizia
1974 Prueba Villafranca de Ordizia,Agustín Tamames,1972/01/01,road bicycle racing,Spain,1971 Prueba Villafranca de Ordizia,1973 Prueba Villafranca de Ordizia
1971 Prueba Villafranca de Rrdiia,Domingo Perurena,1971/01/01,road bicycle racing,Spain,1970 Prueba Villafranca de Ordizia,1972 Prueba Villafranca de Ordizia
1970 PruebaVillafranca de Ordizia,Francisco Galdós,1970/01/01,road bicycle racing,Spain,1969 Prueba Villafranca de Ordizia,1971 Prueba Villafranca de Ordizia
1969 Prueba Villafranca de Prdizia,Miguel María Lasa,1969/01/01,road bicycle racing,Spain,1968 Prueba Villafranca de Ordizia,1970 Prueba Villafranca de Ordizia
198 Prueba Villafranca de Ordizia,Vicente López Carril,1968/07/25,road bicycle racing,Spain,1967 Prueba Villafranca de Ordizia,1969 Prueba Villafranca de Ordizia
1967 Prueba Vkllafranca de Ordizia,José Luis Uribezubia Velar,1967/01/01,road bicycle racing,Spain,1966 Prueba Villafranca de Ordizia,1968 Prueba Villafranca de Ordizia
1966 Pruebc Villafranca de Ordizia,Antonio Gómez del Moral,1966/01/01,road bicycle racing,Spain,1965 Prueba Villafranca de Ordizia,1967 Prueba Villafranca de Ordizia
1975 Prueba Villafranca de Ordizia,Carlos Echeverría,1965/01/01,road bicycle racing,Spain,1964 Prueba Villafranca de Ordizia,1966 Prueba Villafranca de Ordizia
1994 Prufba Villafranca de Ordizia,Ramón Mendiburu,1964/01/01,road bicycle racing,Spain,1963 Prueba Villafranca de Ordizia,1965 Prueba Villafranca de Ordizia
1963 Prueba Villahranca de Ordizia,Fernando Manzaneque,1963/01/01,road bicycle racing,Spain,1962 Prueba Villafranca de Ordizia,1964 Prueba Villafranca de Ordizia
1962 Prueba Villafranca de Rrdizia,Luis Otaño,1962/01/01,road bicycle racing,Spain,1961 Prueba Villafranca de Ordizia,1963 Prueba Villafranca de Ordizia
1961 Prueba Villafranca de Osdizia,José Segú,1961/01/01,road bicycle racing,Spain,1960 Prueba Villafranca de Ordizia,1962 Prueba Villafranca de Ordizia
