col0,col1,col2,col3,col4
1999 US Badminton Championships,Orange,1999 US Badminton Championships – Men's singles,1998 US Badminton Championships,United States of America
1998 US Badminton Championships,Orange,1998 US Badminton Championships – Men's singles,1997 US Badminton Championships,United States of America
1997 US Badminton Championships,Orange,1997 US Badminton Championships – Men's singles,1996 US Badminton Championships,United States of America
1996 US Badminton Championships,Atlanta,1996 US Badminton Championships – Men's singles,1995 US Badminton Championships,United States of America
1995 US Badminton Championships,Atlanta,1995 US Badminton Championships – Men's singles,1994 US Badminton Championships,United States of America
1994 US Badminton Championships,Atlanta,1994 US Badminton Championships – Men's singles,1993 US Badminton Championships,United States of America
1993 US Badminton Championships,Colorado Springs,1993 US Badminton Championships – Men's singles,1992 US Badminton Championships,United States of America
1992 US Badminton Championships,Colorado Springs,1992 US Badminton Championships – Men's singles,1991 US Badminton Championships,United States of America
1991 US Badminton Championships,Colorado Springs,1991 US Badminton Championships – Men's singles,1990 US Badminton Championships,United States of America
1990 US Badminton Championships,Colorado Springs,1990 US Badminton Championships – Men's singles,1989 US Badminton Championships,United States of America
2018 US Badminton Championships,Mukilteo,2018 US Badminton Championships – Men's singles,2017 US Badminton Championships,United States of America
2017 US Badminton Championships,San Diego,2017 US Badminton Championships – Men's singles,2016 US Badminton Championships,United States of America
2016 US Badminton Championships,West Palm Beach,2016 US Badminton Championships – Men's singles,2015 US Badminton Championships,United States of America
2015 US Badminton Championships,Manhattan Beach,2015 US Badminton Championships – Men's singles,2014 US Badminton Championships,United States of America
2014 US Badminton Championships,Boston,2014 US Badminton Championships – Men's singles,2013 US Badminton Championships,United States of America
