col0,col1,col2,col3,col4,col5
Pop Ćira i pop Spira,1972-01-01,Pop Ćira i pop Spira,Yugoslavia,Jovan Konjović,Ljubiša Ristić
Zlostavljanje,1970-01-26,Zlostavljanje,Yugoslavia,Joakim Marušić,Krešo Novosel
Žeđ,1969-01-27,Žeđ,Yugoslavia,Joakim Marušić,Krešo Novosel
Pop Ćira i pop Spira,1972-01-01,Pop Ćira i pop Spira,Yugoslavia,Jovan Konjović,Mija Aleksić
Švabica,1980-01-01,Švabica,Yugoslavia,Rainer Wolffhardt,Milo Dor
Krizantema,1987-05-04,Krizantema,Yugoslavia,Georgij Paro (1934-2018),Georgij Paro (1934-2018)
Suton,1957-04-08,Suton,Yugoslavia,Daniel Marušić,Daniel Marušić
Golgota,1973-01-01,Golgota,Yugoslavia,Mario Fanelli,Mario Fanelli
Audicija,1985-01-01,Audicija,Yugoslavia,Boro Stjepanović,Boro Stjepanović
Ljubov Jarovaja,1957-01-01,Lyubov Yarovaya,Yugoslavia,Daniel Marušić,Daniel Marušić
Damon,1972-01-01,"Damon, oder die wahre Freundschaft",Yugoslavia,Jovan Konjović,Jovan Konjović
Ljudi i neljudi,1963-01-01,Men and Not Men,Yugoslavia,Mario Fanelli,Mario Fanelli
Gospođa ministarka,1978-01-02,Gospođa Ministarka,Yugoslavia,Dejan Mijač,Dejan Mijač
