col0,col1,col2,col3,col4
"Buckeye Check Cashing, Inc. v. Cardegna",United States Reports,legal case,CheckSmart,United States of America
Price Waterhouse v. Hopkins,United States Reports,United States Supreme Court decision,Ann Hopkins,United States of America
Boy Scouts of America v. Dale,United States Reports,United States Supreme Court decision,James Dale,United States of America
Price Waterhouse v. Hopkins,United States Reports,legal case,Ann Hopkins,United States of America
Boy Scouts of America v. Dale,United States Reports,legal case,James Dale,United States of America
American Insurance Association v. Garamendi,United States Reports,United States Supreme Court decision,John Garamendi,United States of America
Alaska v. Native Village of Venetie Tribal Government,United States Reports,United States Supreme Court decision,Venetie,United States of America
Bush v. Gore,United States Reports,United States Supreme Court case,Joseph Liebermann,United States of America
American Insurance Association v. Garamendi,United States Reports,legal case,John Garamendi,United States of America
Alaska v. Native Village of Venetie Tribal Government,United States Reports,legal case,Venetie,United States of America
Bush v. Gore,United States Reports,legal case,Joseph Liebermann,United States of America
