col0,col1,col2,col3,col4
Glenns Lake Head Campground,North America,Glacier County,Glenns Lake Head Campground,Glenns Lake
Glenns Lake Foot Campground,North America,Glacier County,Glenns Lake Foot Campground,Glenns Lake
Elizabeth Lake Head Campground,North America,Glacier County,Elizabeth Lake Head Campground,Elizabeth Lake
Elizabeth Lake Foot Campground,North America,Glacier County,Elizabeth Lake Foot Campground,Elizabeth Lake
Cottonwood Campground,North America,Coconino County,Cottonwood Campground,Bright Angel Creek
McDonald Lake Campground,North America,Flathead County,McDonald Lake Campground,Lake McDonald
Kintla Lake Head Campground,North America,Flathead County,Kintla Lake Head Campground,Kintla Lake
Lake Richie Canoe Campground,North America,Keweenaw County,Lake Richie Canoe Campground,Lake Richie
Lake Richie Campground,North America,Keweenaw County,Lake Richie Campground,Lake Richie
May Lake High Sierra Camp,North America,Mariposa County,May Lake High Sierra Camp,May Lake
Adair Campground,North America,Flathead County,Adair Campground,Logging Lake
Lake Frances Campground,North America,Glacier County,Lake Frances Campground,Lake Frances
Lake Ellen Wilson Campground,North America,Flathead County,Lake Ellen Wilson Campground,Lake Ellen Wilson
Cosley Lake Campground,North America,Glacier County,Cosley Lake Campground,Cosley Lake
Cobalt Lake Campground,North America,Glacier County,Cobalt Lake Campground,Cobalt Lake
