col0,col1,col2,col3,col4,col5,col6
2018 Vuelta a Asturias,Fernando Orjuela,2019 Vuelta a Asturias,road bicycle racing,Israel Cycling Academy 2018,2017 Vuelta a Asturias,César Fonte
2017 Vuelta a Asturias,Hernán Aguirre,2018 Vuelta a Asturias,road bicycle racing,Movistar 2017,2016 Vuelta a Asturias,Óscar Sevilla
2018 Vuelta a Asturias,Ricardo Mestre,2019 Vuelta a Asturias,road bicycle racing,Israel Cycling Academy 2018,2017 Vuelta a Asturias,César Fonte
2017 Vuelta a Asturias,Sergio Higuita,2018 Vuelta a Asturias,road bicycle racing,Movistar 2017,2016 Vuelta a Asturias,Óscar Sevilla
2018 Vuelta a Asturias,João Rodrigues,2019 Vuelta a Asturias,road bicycle racing,W52-FC Porto 2018,2017 Vuelta a Asturias,Jonathan Caicedo
2017 Vuelta a Asturias,Nairo Quintana,2018 Vuelta a Asturias,road bicycle racing,Movistar 2017,2016 Vuelta a Asturias,Óscar Sevilla
2018 Vuelta a Asturias,Ricardo Mestre,2019 Vuelta a Asturias,road bicycle racing,Israel Cycling Academy 2018,2017 Vuelta a Asturias,Ricardo Mestre
2017 Vuelta a Asturias,Nairo Quintana,2018 Vuelta a Asturias,road bicycle racing,Movistar 2017,2016 Vuelta a Asturias,Nairo Quintana
2018 Vuelta a Asturias,Ricardo Mestre,2019 Vuelta a Asturias,road bicycle racing,W52-FC Porto 2018,2017 Vuelta a Asturias,Ricardo Mestre
2017 Vuelta a Asturias,W52-FC Porto 2017,2018 Vuelta a Asturias,road bicycle racing,W52-FC Porto 2017,2016 Vuelta a Asturias,Óscar Sevilla
2018 Vuelta a Asturias,Fernando Orjuela,2019 Vuelta a Asturias,road bicycle racing,W52-FC Porto 2018,2017 Vuelta a Asturias,Richard Carapaz
2017 Vuelta a Asturias,W52-FC Porto 2017,2018 Vuelta a Asturias,road bicycle racing,Ukyo 2017,2016 Vuelta a Asturias,Óscar Sevilla
