col0,col1,col2,col3,col4
Tadipatri,town in India,Tadpatri mandal,54015,108171
Mandapeta,town in India,Mandapeta mandal,27580,56063
Macharla,town in India,Macharla mandal,28454,57290
Kothagudem,town in India,Bhadradri Kothagudem district,39001,79819
Kovvur,town in India,Kovvur mandal,19244,39667
Tadepalligudem,town in India,Tadepalligudem mandal,51438,104032
Pulivendula,town in India,Pulivendla mandal,32758,65706
Kavali,town in India,Kavali mandal,44909,90099
Jagtial,town in India,Jagtial district,811,1607
Jammalamadugu,town in India,Jammalamadugu mandal,22636,46069
Nalgonda,town in India,Nalgonda District,77320,154326
Dharmavaram,town in India,Dharmavaram mandal,62250,121874
Puttur,town in India,Puttur mandal,27017,54092
Palakollu,town in India,Palakollu Mandal,40103,129717
Tenali,town in India,Tenali mandal,81427,164937
