col0,col1,col2,col3,col4,col5
Maclean,English,surname prefixed with Mac or Mc,Latin script,Maclean,Maclean
McNair,English,family name,Latin script,McNair,McNair
McDonald,English,family name,Latin script,McDonald,McDonald
Maclean,English,family name,Latin script,Maclean,MacLean
McMillan,English,surname prefixed with Mac or Mc,Latin script,McMillan,McMillan
McKenna,English,surname prefixed with Mac or Mc,Latin script,McKenna,McKenna
McGillivray,English,surname prefixed with Mac or Mc,Latin script,McGillivray,McGillivray
MacMaster,English,surname prefixed with Mac or Mc,Latin script,MacMaster,MacMaster
McMillan,English,family name,Latin script,McMillan,McMillan
McKenna,English,family name,Latin script,McKenna,McKenna
