col0,col1,col2,col3,col4,col5,col6
Osorno Province,Chile,234122,87,Puyehue,El Ranco Province,province of Chile
Malleco Province,Chile,205124,756,Collipulli,Arauco Province,province of Chile
Llanquihue Province,Chile,408052,75,Puerto Montt,Chiloé Province,province of Chile
Colchagua Province,Chile,222556,364,Chimbarongo,Cachapoal Province,province of Chile
Coyhaique Province,Chile,58670,687,Coyhaique,Aysén Province,province of Chile
Chiloé Province,Chile,168185,174,Ancud,Aysén Province,province of Chile
Cautín Province,Chile,752100,148,Cholchol,Arauco Province,province of Chile
Palena Province,Chile,18349,125,Chaitén,Llanquihue Province,province of Chile
Osorno Province,Chile,234122,87,Puyehue,Llanquihue Province,province of Chile
Llanquihue Province,Chile,408052,75,Maullín,Osorno Province,province of Chile
Cachapoal Province,Chile,646133,364,Codegua,Cardenal Caro Province,province of Chile
Bío Bío province,Chile,395060,429,Tucapel,Concepción Province,province of Chile
