col0,col1,col2,col3,col4
Ntem Department,Bitam,Gabon,department of Gabon,Woleu-Ntem Province
Woleu Department,Oyem,Gabon,department of Gabon,Woleu-Ntem Province
Haut-Komo Department,Médouneu,Gabon,department of Gabon,Woleu-Ntem Province
Ndougou Department,"Gamba, Gabon",Gabon,department of Gabon,Ogooué-Maritime Province
Haut-Ntem Department,Minvoul,Gabon,department of Gabon,Woleu-Ntem Province
Mouloundou Department,Lastoursville,Gabon,department of Gabon,Ogooué-Lolo Province
Haute-Banio Department,Ndindi,Gabon,department of Gabon,Nyanga Province
Lope Department,Booué,Gabon,department of Gabon,Ogooué-Ivindo Province
Lolo-Bouenguidi Department,Koulamoutou,Gabon,department of Gabon,Ogooué-Lolo Province
Mougoutsi Department,Tchibanga,Gabon,department of Gabon,Nyanga Province
Ivindo Department,Makokou,Gabon,department of Gabon,Ogooué-Ivindo Province
Zadie Department,Mékambo,Gabon,department of Gabon,Ogooué-Ivindo Province
