col0,col1,col2,col3,col4,col5,col6
Doctor's Orders,Star Trek novel,Doctor's Orders,Diane Duane,Pocket Books,United States of America,Star Trek multiverse
Demons,Star Trek novel,Demons,Jeanne Kalogridis,Pocket Books,United States of America,Star Trek multiverse
Deep Domain,Star Trek novel,Deep Domain,Howard Weinstein,Pocket Books,United States of America,Star Trek multiverse
Crisis on Centaurus,Star Trek novel,Crisis on Centaurus,Brad Ferguson,Pocket Books,United States of America,Star Trek multiverse
Corona,Star Trek novel,Corona,Greg Bear,Pocket Books,United States of America,Star Trek multiverse
Challenger,Star Trek novel,Challenger,Diane Carey,Pocket Books,United States of America,Star Trek multiverse
Chain of Attack,Star Trek novel,Chain of Attack,Gene DeWeese,Pocket Books,United States of America,Star Trek multiverse
Bloodthirst,Star Trek novel,Bloodthirst,Jeanne Kalogridis,Pocket Books,United States of America,Star Trek multiverse
Black Fire,Star Trek novel,Black Fire,Sonni Cooper,Pocket Books,United States of America,Star Trek multiverse
Betrayal,Star Trek novel,Betrayal,Lois Tilton,Pocket Books,United States of America,Star Trek multiverse
Belle Terre,Star Trek novel,Belle Terre,Dean Wesley Smith,Pocket Books,United States of America,Star Trek multiverse
Battlestations!,Star Trek novel,Battlestations!,Diane Carey,Pocket Books,United States of America,Star Trek multiverse
Across the Universe,Star Trek novel,Across the Universe,Pamela Sargent,Pocket Books,United States of America,Star Trek multiverse
