col0,col1,col2,col3,col4,col5,col6
New minerals approved in 2010,International Mineralogical Association,Marco Pasero,scientific article,"New minerals approved in 2010. Nomenclature modifications approved in 2010, Commission on New Minerals, Nomenclature and Classification",2010-01-01,mineralogy
CNMNC Newsletter 33,Mineralogical Magazine,Frédéric Hatert,IMA-CNMNC Newsletter,"IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 33. New minerals and nomenclature modifications approved in 2016",2016-10-01,mineralogy
CNMNC Newsletter 32,Mineralogical Magazine,Frédéric Hatert,IMA-CNMNC Newsletter,"IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 32. New minerals and nomenclature modifications approved in 2016",2016-08-01,mineralogy
CNMNC Newsletter 31,Mineralogical Magazine,Frédéric Hatert,IMA-CNMNC Newsletter,"IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 31. New minerals and nomenclature modifications approved in 2016",2016-06-01,mineralogy
CNMNC Newsletter 12,Mineralogical Magazine,Peter A. Williams,IMA-CNMNC Newsletter,"IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 12. New minerals and nomenclature modifications approved in 2012",2012-02-01,mineralogy
CNMNC Newsletter 11,Mineralogical Magazine,Peter A. Williams,IMA-CNMNC Newsletter,"IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 11. New minerals and nomenclature modifications approved in 2011",2011-12-01,mineralogy
CNMNC Newsletter 10,Mineralogical Magazine,Peter A. Williams,IMA-CNMNC Newsletter,"IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 10. New minerals and nomenclature modifications approved in 2011",2011-10-01,mineralogy
CNMNC Newsletter 9,Mineralogical Magazine,Peter A. Williams,IMA-CNMNC Newsletter,"IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 9. New minerals and nomenclature modifications approved in 2011",2011-08-01,mineralogy
CNMNC Newsletter 8,Mineralogical Magazine,Peter A. Williams,IMA-CNMNC Newsletter,"IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 8. New minerals and nomenclature modifications approved in 2011",2011-04-01,mineralogy
CNMNC Newsletter 7,Mineralogical Magazine,Peter A. Williams,IMA-CNMNC Newsletter,"IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 7. New minerals and nomenclature modifications approved in 2010",2011-02-01,mineralogy
CNMNC Newsletter 6,Mineralogical Magazine,Peter A. Williams,IMA-CNMNC Newsletter,"IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 6. New minerals and nomenclature modifications approved in 2010",2010-12-01,mineralogy
