col0,col1,col2,col3,col4
Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer,breast neoplasm,"Gene expression and benefit of chemotherapy in women with node-negative, estrogen receptor-positive breast cancer.",English,Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer
"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths",Schistosoma mansoni,"Occurrence of Strongyloides stercoralis in Yunnan Province, China, and comparison of diagnostic methods.",English,"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths"
Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer,breast neoplasm,Concordance between semiquantitative immunohistochemical assay and oncotype DX RT-PCR assay for estrogen and progesterone receptors.,English,Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer
"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths",Schistosoma mansoni,An updated atlas of human helminth infections: the example of East Africa,English,"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths"
Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer,breast neoplasm,How reliable is Ki-67 immunohistochemistry in grade 2 breast carcinomas? A QA study of the Swiss Working Group of Breast- and Gynecopathologists,English,Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer
"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths",Schistosoma mansoni,Diagnosis of soil-transmitted helminths in the era of preventive chemotherapy: effect of multiple stool sampling and use of different diagnostic techniques,English,"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths"
Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer,breast neoplasm,"A multigene assay to predict recurrence of tamoxifen-treated, node-negative breast cancer",English,Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer
"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths",Schistosoma mansoni,"Soil-transmitted helminth infections: ascariasis, trichuriasis, and hookworm",English,"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths"
Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer,breast neoplasm,Utility of prognostic genomic tests in breast cancer practice: The IMPAKT 2012 Working Group Consensus Statement,English,Comparison of EndoPredict and Oncotype DX test results in hormone receptor positive invasive breast cancer
"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths",diagnosis,The Measurement of Observer Agreement for Categorical Data,English,"Comparing diagnostic accuracy of Kato-Katz, Koga agar plate, ether-concentration, and FLOTAC for Schistosoma mansoni and soil-transmitted helminths"
A meta-analysis of the effectiveness of albendazole compared with metronidazole as treatments for infections with Giardia duodenalis,"Giardia duodenalis assemblage, clinical presentation and markers of intestinal inflammation in Brazilian children.",Illness and reservoirs associated with Giardia lamblia infection in rural Egypt: the case against treatment in developing world environments of high endemicity.,English,A meta-analysis of the effectiveness of albendazole compared with metronidazole as treatments for infections with Giardia duodenalis
Massively parallel sequencing and analysis of the Necator americanus transcriptome,transcriptome,A transcriptomic analysis of the phylum Nematoda,English,Massively parallel sequencing and analysis of the Necator americanus transcriptome
"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial",East Africa,Treatment of visceral leishmaniasis with injectable paromomycin (aminosidine). An open-label randomized phase-II clinical study.,English,"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial"
