col0,col1,col2,col3,col4
Tuni,town in India,Tuni mandal,25922,53425
Suryapet,town in India,Suryapet district,52773,106805
Vinukonda,town in India,Vinukonda mandal,31566,59725
Tanuku,town in India,Tanuku mandal,38325,77962
Punganur,town in India,Punganur mandal,27235,54746
Kamareddy,town in India,Kamareddy District,39660,80315
Kandukur,town in India,Kandukur mandal,28644,57246
Pithapuram,town in India,Pithapuram mandal,27163,54859
Wanaparthi,town in India,Wanaparthy district,31501,60949
Saluru,town in India,Salur mandal,24021,49500
