col0,col1,col2,col3,col4
Cieszyn,378.5,Český Těšín,town divided by border,28.69
Kostrzyn nad Odrą,45,Küstrin-Kietz,town divided by border,46.17
Zgorzelec,209,Görlitz,town divided by border,15.88
Tarnowskie Góry,320,Bytom,urban municipality of Poland,83.88
Cieszyn,378.5,Český Těšín,urban municipality of Poland,28.69
Łęknica,142,Gmina Przewóz,urban municipality of Poland,16.43
Wisła,513,Gmina Lipowa,urban municipality of Poland,110.17
Nowy Targ,585,Gmina Nowy Targ,urban municipality of Poland,51.07
Zawidów,245,Černousy,urban municipality of Poland,6.07
Kostrzyn nad Odrą,45,Küstrin-Kietz,urban municipality of Poland,46.17
Zgorzelec,209,Görlitz,urban municipality of Poland,15.88
Koło,110,Gmina Osiek Mały,urban municipality of Poland,13.85
