col0,col1,col2,col3,col4
Anzaldo Municipality,641,Esteban Arce Province,municipality of Bolivia,Anzaldo
Arbieto Municipality,146,Esteban Arce Province,municipality of Bolivia,Arbieto
Uyuni Municipality,7895,Antonio Quijarro Province,municipality of Bolivia,Uyuni
Llica Municipality,3272,Daniel Campos Province,municipality of Bolivia,Llica
Calacoto Municipality,3896,Pacajes Province,municipality of Bolivia,Calacoto
Pelechuco Municipality,2507,Franz Tamayo Province,municipality of Bolivia,Pelechuco
Guaqui Municipality,188,Ingavi Province,municipality of Bolivia,Guaqui
Colquechaca Municipality,1846,Chayanta Province,municipality of Bolivia,Colquechaca
Teoponte Municipality,1579,Larecaja Province,municipality of Bolivia,Teoponte
Santa Ana Municipality,20897,Yacuma Province,municipality of Bolivia,Santa Ana del Yacuma
Tarata Municipality,335,Esteban Arce Province,municipality of Bolivia,Tarata
Sacabamba Municipality,184,Esteban Arce Province,municipality of Bolivia,Sacabamba
Charaña Municipality,2876,Pacajes Province,municipality of Bolivia,Charaña
