col0,col1,col2,col3,col4,col5,col6,col7
Zacatecas Zacatecas,Congress of San Luis Potosí,Huastec,1638,Guanajuato,1823-01-01,Governor of San Luis Potosí,Brockhaus and Efron Encyclopedic Dictionary
Querétaro,Congress of Queretaro,Mazahua language,1856,United States of America,1823-01-01,Governor of Querétaro,Brockhaus and Efron Encyclopedic Dictionary
Guerrero,Congress of Guerrero,Western Juxtlahuaca Mixtec,1161,Morelos,1858-01-01,Governor of Guerrero,Brockhaus and Efron Encyclopedic Dictionary
State of Mexico,Congress of the Estado de México,Mazahua language,2605,Michoacán,1823-01-01,Governor of the State of Mexico,Brockhaus and Efron Encyclopedic Dictionary
Tlaxcala,Congress of Tlaxcala,Central Nahuatl,2425,Puebla,1857-01-01,Governor of Tlaxcala,Brockhaus and Efron Encyclopedic Dictionary
Oaxaca,Congress of Oaxaca,Güilá Zapotec,1644,Chiapas,1824-01-01,Governor of Oaxaca,Brockhaus and Efron Encyclopedic Dictionary
Puebla,Congress of Puebla,Xicotepec Totonac,1704,Guerrero,1824-01-01,Governor of Puebla,Brockhaus and Efron Encyclopedic Dictionary
State of Mexico,Congress of the Estado de México,Mazahua language,2605,Tlaxcala,1823-01-01,Governor of the State of Mexico,Brockhaus and Efron Encyclopedic Dictionary
Tlaxcala,Congress of Tlaxcala,Central Nahuatl,2425,State of Mexico,1857-01-01,Governor of Tlaxcala,Brockhaus and Efron Encyclopedic Dictionary
Oaxaca,Congress of Oaxaca,San Dionisio del Mar Huave,1644,Puebla,1824-01-01,Governor of Oaxaca,Brockhaus and Efron Encyclopedic Dictionary
Chiapas,Congress of Chiapas,Chiapanec,4080,Huehuetenango Department,1824-01-01,Governor of Chiapas,Brockhaus and Efron Encyclopedic Dictionary
