col0,col1,col2,col3,col4
Dobretići Municipality,Dobretići,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Central Bosnia Canton
Ključ Municipality,"Ključ, Una-Sana Canton",municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Una-Sana Canton
Bihać Municipality,Bihać,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Una-Sana Canton
Vareš Municipality,Vareš,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina
Busovača Municipality,Busovača,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Central Bosnia Canton
Čitluk Municipality,Čitluk,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Herzegovina-Neretva Canton
Čelić Municipality,Čelić,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Tuzla Canton
Cazin Municipality,Cazin,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Una-Sana Canton
Hadžići Municipality,Hadžići,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo Canton
Fojnica Municipality,Fojnica,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Central Bosnia Canton
Travnik Municipality,Travnik,municipality of the Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Central Bosnia Canton
