col0,col1,col2,col3,col4,col5
"Order of the Three Stars, 2nd Class","Order of the Three Stars, 1st Class",grand officer,1924-01-01,grade of an order,"Order of the Three Stars, 3rd Class"
Knight of the Order of the Lion of Finland,Knight First Class of the Order of the Lion of Finland,knight,1942-09-11,grade of an order,Cross of Merit of the Order of the Lion of Finland
Commander of the Order of the Cross of Vytis,Grand Officer of the Order for Merits to Lithuania,commander,1919-07-30,grade of an order,Officer of the Order of the Cross of Vytis
Grand Cross of the Order of the Cross of Vytis,Grand Cross with collar of the Order of Vytautas the Great,grand cross,1919-07-30,grade of an order,Grand Commander of the Order of the Cross of Vytis
Knight Grand Cross of the Order for Merits to Lithuania,Grand Cross of the Order of Grand Duke Gediminas,grand cross,2002-06-18,grade of an order,Grand Commander of the Order of the Cross of Vytis
"Recipient of the Order of the National Coat of Arms, 1st Class",Collar of the Order of the National Coat of Arms,grand cross,1936-10-07,grade of an order,"Order of the National Coat of Arms, 2nd Class"
"Order of the Three Stars, 1st Class",Grand Cross with Collar of the Order of the Three Stars,grand cross,1924-01-01,grade of an order,"Order of the Three Stars, 2nd Class"
Commander of the Order of the Andes' Condor,Grand Officer of the Order of the Condor of the Andes,commander,1925-04-18,grade of an order,Officer of the Order of the Condor of the Andes
Grand Knights of the Order of the Falcon,Grand Knights with Star of the Order of the Falcon,commander,1921-07-03,grade of an order,Knights of the Order of the Falcon
"Order of the Three Stars, 3rd Class","Order of the Three Stars, 2nd Class",commander,1924-01-01,grade of an order,"Order of the Three Stars, 4th Class"
