col0,col1,col2,col3,col4,col5
Roadside station Mokkuru Shinshiro,Shinshiro,Japan National Route 151,Japan National Route 151,2015-03-21,roadside station in Japan
Roadside station FARMUS Kijimadaira,Kijimadaira,Japan National Route 403,Japan National Route 403,2015-05-01,roadside station in Japan
Roadside station Mikatagoko,Wakasa,Japan National Route 162,Japan National Route 162,2015-03-21,roadside station in Japan
Roadside station Ichijodani Asakura Mizu-no-eki,Fukui,Fukui Prefectural Road Route 31,Fukui Prefectural Road Route 31,2010-05-01,roadside station in Japan
Roadside station Sera,Sera,Japan National Route 432,Japan National Route 432,2015-05-23,roadside station in Japan
Roadside station Tamamurajuku,Tamamura,Japan National Route 354,Japan National Route 354,2015-05-31,roadside station in Japan
Roadside station Nikko,Nikkō,Japan National Route 119,Japan National Route 119,2015-04-27,roadside station in Japan
Roadside station Hitachi Osakana Center,Hitachi,Japan National Route 245,Japan National Route 245,2014-09-21,roadside station in Japan
Roadside station Kurura-Toda,Numazu,Shizuoka Prefectural Road Route 18,Shizuoka Prefectural Road Route 18,2015-04-01,roadside station in Japan
Roadside station Echizen,Echizen,Japan National Route 305,Japan National Route 305,2014-11-15,roadside station in Japan
Roadside station Akaigawa,Akaigawa,Japan National Route 393,Japan National Route 393,2015-04-15,roadside station in Japan
