col0,col1,col2,col3,col4,col5
Intuitionism and computing with partial information,Engineering and Physical Sciences Research Council,8557,University of Siena,United Kingdom,research grant
Probing the Composition of Planet-Building Material with ALMA,Science and Technology Facilities Council,231819,School of Physics and Astronomy,United Kingdom,research grant
Auger Operating Costs,Science and Technology Facilities Council,30000,Alan Andrew Watson,United Kingdom,research grant
UK Participation in the Preparatory Phase of the Cherenkov Telescope Array 2012-2015,Science and Technology Facilities Council,32845,School of Physics and Astronomy,United Kingdom,research grant
Terrorism and the law: the construction and application of laws and legal policies in the United Kingdom,Arts and Humanities Research Council,39442,School of Law,United Kingdom,research grant
Defining the molecular pathway for yeast prion fibril assembly using cryo-electron microscopy,Biotechnology and Biological Sciences Research Council,381144,School of Molecular and Cellular Biology,United Kingdom,research grant
Functional dissection of pectic rhamnogalacturonan-I,Biotechnology and Biological Sciences Research Council,411947,Centre for Plant Sciences,United Kingdom,research grant
BLOOM-NET,Biotechnology and Biological Sciences Research Council,284646,Centre for Plant Sciences,United Kingdom,research grant
A biological rationale for NMD in plants,Biotechnology and Biological Sciences Research Council,347966,Centre for Plant Sciences,United Kingdom,research grant
13 ERA-CAPS FLOWPLAST,Biotechnology and Biological Sciences Research Council,451829,Centre for Plant Sciences,United Kingdom,research grant
Cis-element conservation and divergence in plant reproductive development,Biotechnology and Biological Sciences Research Council,326572,University of East Anglia,United Kingdom,research grant
A Family of Transcriptional Co-repressors Controlling Multiple Processes in Plants,Biotechnology and Biological Sciences Research Council,398679,Centre for Plant Sciences,United Kingdom,research grant
