col0,col1,col2,col3,col4,col5,col6
1975 Danish general election,1975-01-09,Anker Jørgensen,Denmark,Danish parliamentary election,1973 Danish general election,Prime Minister of Denmark
1973 Danish general election,1973-12-04,Poul Hartling,Denmark,Danish parliamentary election,1971 Danish general election,Prime Minister of Denmark
1998 Danish general election,1998-03-11,Poul Nyrup Rasmussen,Denmark,Danish parliamentary election,1994 Danish general election,Prime Minister of Denmark
1994 Danish general election,1994-09-21,Poul Nyrup Rasmussen,Denmark,Danish parliamentary election,1990 Danish general election,Prime Minister of Denmark
2015 Danish general election,2015-06-18,Tilde Bork,Denmark,Danish parliamentary election,2011 Danish general election,member of the Folketing
2011 Danish general election,2011-09-15,Helle Thorning-Schmidt,Denmark,Danish parliamentary election,2007 Danish general election,Prime Minister of Denmark
1957 Danish general election,1957-05-14,H. C. Hansen,Denmark,Danish parliamentary election,1953 Danish general election,Prime Minister of Denmark
1968 Danish general election,1968-01-23,Hilmar Baunsgaard,Denmark,Danish parliamentary election,1966 Danish general election,Prime Minister of Denmark
1984 Danish general election,1984-01-10,Poul Schlüter,Denmark,Danish parliamentary election,1981 Danish general election,Prime Minister of Denmark
1987 Danish general election,1987-09-08,Poul Schlüter,Denmark,Danish parliamentary election,1984 Danish general election,Prime Minister of Denmark
