col0,col1,col2,col3,col4,col5
De Melkmarkt,Antwerp,1907-01-01,wood engraving print,Print Room of the University of Antwerp,Edward Pellens
De Jezuieten toren,Antwerp,1907-01-01,wood engraving print,Print Room of the University of Antwerp,Edward Pellens
In het Plantin Museum,Antwerp,1907-01-01,wood engraving print,Print Room of the University of Antwerp,Edward Pellens
Titelplaat,Antwerp,1907-01-01,wood engraving print,Print Room of the University of Antwerp,Edward Pellens
Plaatsnijdersmerk,Antwerp,1907-01-01,wood engraving print,Print Room of the University of Antwerp,Edward Pellens
Triomfboog van de stad Antwerpen,Antwerp,1550-01-01,wood engraving print,Print Room of the University of Antwerp,anonymous
Triomfboog van de stad Antwerpen,Antwerp,1550-01-01,wood engraving print,Print Room of the University of Antwerp,anonymous
Triomfboog van de stad Antwerpen,Antwerp,1550-01-01,wood engraving print,Print Room of the University of Antwerp,anonymous
Triomfboog van de stad Antwerpen,Antwerp,1550-01-01,wood engraving print,Print Room of the University of Antwerp,anonymous
Der stadt stellagie aen S. Michielsclooster,Antwerp,1550-01-01,wood engraving print,Print Room of the University of Antwerp,anonymous
De triumphaelen Boegs der Duytscher Natien van binnen ende buyten te siene,Antwerp,1550-01-01,wood engraving print,Print Room of the University of Antwerp,anonymous
De opstelling van de muntslagers bij de Sint-Janspoort,Antwerp,1550-01-01,wood engraving print,Print Room of the University of Antwerp,anonymous
