col0,col1,col2,col3,col4,col5
canton of Bagnères-de-Luchon,Oô,canton of France,33264,France,arrondissement of Saint-Gaudens
canton of Saint-Maximin-la-Sainte-Baume,Nans-les-Pins,canton of France (until 2015),50524,France,arrondissement of Brignoles
canton of Mareuil-sur-Lay-Dissais,Moutiers-sur-le-Lay,canton of France (until 2015),33062,France,arrondissement of La Roche-sur-Yon
canton of Bagnères-de-Luchon,Oô,canton of France (until 2015),33264,France,arrondissement of Saint-Gaudens
canton of Saint-Just-en-Chaussée,Saint-Just-en-Chaussée,canton of France,44216,France,arrondissement of Beauvais
canton of Saint-Claude,Saint-Claude,canton of France,11044,France,arrondissement of Saint-Claude
canton of Saint-Gaultier,Rivarennes,canton of France,16480,France,arrondissement of Châteauroux
canton of Saint-Just-en-Chaussée,Saint-Just-en-Chaussée,canton of France (until 2015),44216,France,arrondissement of Beauvais
canton of Saint-Claude,Saint-Claude,canton of France (until 2015),11044,France,arrondissement of Saint-Claude
canton of Saint-Gaultier,Luzeret,canton of France (until 2015),16480,France,arrondissement of Le Blanc
