col0,col1,col2,col3,col4
Pinacotheca of Ravenna,Italy,Italian national heritage,Ravenna,pinacotheca
"Pinacoteca Domenico Inzaghi, Budrio",Italy,Italian national heritage,Budrio,pinacotheca
Pinacoteca Repossi,Italy,Italian national heritage,Chiari,pinacotheca
Pinacoteca Patiniana,Italy,Italian national heritage,Castel di Sangro,pinacotheca
Pinacoteca Leonida e Albertina Repaci,Italy,Italian national heritage,Palmi,pinacotheca
Pinacoteca e Museo Civico 'Malatestiano',Italy,Italian national heritage,Fano,pinacotheca
Pinacoteca Comunale 'R. Fidanza',Italy,Italian national heritage,Matelica,pinacotheca
Pinacoteca civica Collegio dei Filippini,Italy,Italian national heritage,Agrigento,pinacotheca
"pinacoteca civica ""V. Bindi""",Italy,Italian national heritage,Giulianova,pinacotheca
Pinacoteca 'Michele De Napoli',Italy,Italian national heritage,Terlizzi,pinacotheca
Pinacoteca 'Andrea Alfano',Italy,Italian national heritage,Castrovillari,pinacotheca
