col0,col1,col2,col3,col4,col5
The Three Caballeros,The Walt Disney Company,Milt Neil,The Flying Gauchito,RKO Pictures,Roy Williams
Saludos Amigos,The Walt Disney Company,Wolfgang Reitherman,Pedro,RKO Pictures,Webb Smith
The Three Caballeros,The Walt Disney Company,John Sibley,The Cold-Blooded Penguin,RKO Pictures,Ted Sears
Saludos Amigos,The Walt Disney Company,Bill Justice,Pedro,RKO Pictures,Ted Sears
The Three Caballeros,The Walt Disney Company,John Sibley,The Cold-Blooded Penguin,RKO Pictures,Homer Brightman
Saludos Amigos,The Walt Disney Company,Bill Justice,Pedro,RKO Pictures,Homer Brightman
The Three Caballeros,The Walt Disney Company,Milt Neil,The Flying Gauchito,RKO Pictures,Homer Brightman
Saludos Amigos,The Walt Disney Company,Bill Justice,Pedro,RKO Pictures,Harry Reeves
The Three Caballeros,The Walt Disney Company,John Sibley,The Cold-Blooded Penguin,RKO Pictures,William Cottrell
Saludos Amigos,The Walt Disney Company,Bill Justice,Pedro,RKO Pictures,William Cottrell
The Three Caballeros,The Walt Disney Company,Don Patterson,The Flying Gauchito,RKO Pictures,William Cottrell
Saludos Amigos,The Walt Disney Company,Bill Justice,Pedro,RKO Pictures,Dick Huemer
The Three Caballeros,The Walt Disney Company,John Sibley,The Cold-Blooded Penguin,RKO Pictures,Ralph Wright
Saludos Amigos,The Walt Disney Company,Bill Justice,Pedro,RKO Pictures,Ralph Wright
