col0,col1,col2,col3,col4
Dale McGillicutty,female,A Teenage Mutant Ninja Turtles Story,A Teenage Mutant Ninja Turtles Story,Teenage Mutant Ninja Turtles universe
Manmoth,male,Origin of the Species,Origin of the Species,Teenage Mutant Ninja Turtles universe
Todd,male,Outbreak,Outbreak,Teenage Mutant Ninja Turtles universe
J. Finn,male,Dragon's Brew,Dragon's Brew,Teenage Mutant Ninja Turtles universe
Sydney,female,"Notes from the Underground, Part 1","Notes from the Underground, Part 1",Teenage Mutant Ninja Turtles universe
Rudolph Cobrato,male,Snakes Alive,Snakes Alive,Teenage Mutant Ninja Turtles universe
Joe Junkee,male,Muckman Messes Up,Muckman Messes Up,Teenage Mutant Ninja Turtles universe
AJ Howard,male,"Dirk Savage, Mutant Hunter","Dirk Savage, Mutant Hunter",Teenage Mutant Ninja Turtles universe
Tattoo,male,"Planet of the Turtleoids, Part 1","Planet of the Turtleoids, Part 1",Teenage Mutant Ninja Turtles universe
Seymour Gutz,male,Enter: Mutagen Man,Enter: Mutagen Man,Teenage Mutant Ninja Turtles universe
Brutus,male organism,What's Michelangelo Good For?,What's Michelangelo Good For?,Teenage Mutant Ninja Turtles universe
Ray,male,Rebel Without a Fin,Rebel Without a Fin,Teenage Mutant Ninja Turtles universe
Napoleon Bonafrog,male,Invasion of the Punk Frogs,Invasion of the Punk Frogs,Teenage Mutant Ninja Turtles universe
Rasputin the Mad Frog,male,Invasion of the Punk Frogs,Invasion of the Punk Frogs,Teenage Mutant Ninja Turtles universe
Attila the Frog,male,Invasion of the Punk Frogs,Invasion of the Punk Frogs,Teenage Mutant Ninja Turtles universe
