col0,col1,col2,col3,col4
Tofkian,Haripur District,520,union council of Pakistan,Pakistan
Kach Banda,Hangu District,785,union council of Pakistan,Pakistan
Yaroo,Dera Ghazi Khan District,121,union council of Pakistan,Pakistan
Wayara,Lasbela District,53,union council of Pakistan,Pakistan
Vehoa,Dera Ghazi Khan District,196,union council of Pakistan,Pakistan
Trundeh Ki Kori,Islamabad,519,union council of Pakistan,Pakistan
"Toru, Pakistan",Mardan District,291,union council of Pakistan,Pakistan
Tibbi Qaisrani,Dera Ghazi Khan District,137,union council of Pakistan,Pakistan
Thakot,Battagram District,1131,union council of Pakistan,Pakistan
Sohan,Islamabad Capital Territory,457,union council of Pakistan,Pakistan
Shumlai,Battagram District,1567,union council of Pakistan,Pakistan
