col0,col1,col2,col3,col4,col5
Salustenkulma,Orimattila,Finland,registered archaeological site in Finland,mass grave,modernity
Ruumismäen kolerahaudat,Mäntsälä,Finland,registered archaeological site in Finland,mass grave,recorded history
Harainen,Mynämäki,Finland,registered archaeological site in Finland,mass grave,recorded history
Heinäjoen motti,Lieksa,Finland,registered archaeological site in Finland,mass grave,recorded history
Huhtiniemi 2,Lappeenranta,Finland,registered archaeological site in Finland,mass grave,recorded history
Pajuharjuntie 16,Lapinlahti,Finland,registered archaeological site in Finland,mass grave,recorded history
Kalliolahti 3,Kuhmo,Finland,registered archaeological site in Finland,mass grave,recorded history
Kaksipirttinen,Kuhmo,Finland,registered archaeological site in Finland,mass grave,recorded history
Metsärinteen puisto,Kempele,Finland,registered archaeological site in Finland,mass grave,recorded history
Melttusvirta,Kaavi,Finland,registered archaeological site in Finland,mass grave,recorded history
Mykkyläsaari,Juva,Finland,registered archaeological site in Finland,mass grave,recorded history
Puomila,Joroinen,Finland,registered archaeological site in Finland,mass grave,recorded history
Kalmanniemi,Joroinen,Finland,registered archaeological site in Finland,mass grave,recorded history
Öllölä Öllölänniemi,Joensuu,Finland,registered archaeological site in Finland,mass grave,recorded history
Perttilä,Isokyrö,Finland,registered archaeological site in Finland,mass grave,recorded history
