col0,col1,col2,col3,col4,col5
Constitution Order 22,India,"Scheduled Castes and Scheduled Tribes Lists (Modification) Order, 1956",Orders issued under the Constitution of India,"Constitution (Scheduled Tribes) Order, 1950",1950-09-06
Constitution Order 19,India,"Scheduled Castes and Scheduled Tribes Lists (Modification) Order, 1956",Orders issued under the Constitution of India,"Constitution (Scheduled Castes) Order, 1950",1950-08-10
Constitution Order 48,India,Constitution Order 269,Orders issued under the Constitution of India,"Constitution (Application to Jammu and Kashmir) Order, 1954",1954-05-14
Constitution Order 181,India,Constitution Order 182,Orders issued under the Constitution of India,"Constitution (Distribution of Revenues) No. 5 Order, 2000",2000-04-01
Constitution Order 158,India,Constitution Order 180,Orders issued under the Constitution of India,"Constitution (Distribution of Revenues) No. 2 Order, 1995",1995-04-01
Constitution Order 48,India,Constitution Order 129,Orders issued under the Constitution of India,"Constitution (Application to Jammu and Kashmir) Order, 1954",1954-05-14
Constitution Order 118,India,Constitution Order 125,Orders issued under the Constitution of India,"Constitution (Distribution of Revenues) Order, 1984",1983-04-01
Constitution Order 48,India,Constitution Order 122,Orders issued under the Constitution of India,"Constitution (Application to Jammu and Kashmir) Order, 1954",1954-05-14
Constitution Order 118,India,Constitution Order 120,Orders issued under the Constitution of India,"Constitution (Distribution of Revenues) Order, 1984",1983-04-01
Constitution Order 48,India,Constitution Order 85,Orders issued under the Constitution of India,"Constitution (Application to Jammu and Kashmir) Order, 1954",1954-05-14
Constitution Order 73,India,Constitution Order 84,Orders issued under the Constitution of India,"Constitution (Distribution of Revenues) Order, 1965",1966-04-01
