col0,col1,col2,col3,col4,col5,col6
Rett syndrome causing genes,Friederike Ehrhart,disease pathway,biological pathway,Homo sapiens,Rett syndrome causing genes,Rett syndrome
Type 2 papillary renal cell carcinoma,Alexander R. Pico,disease pathway,biological pathway,Homo sapiens,Type 2 papillary renal cell carcinoma,Papillary renal cell carcinomas
Breast cancer pathway,Egon Willighagen,disease pathway,biological pathway,Homo sapiens,Breast cancer pathway,cancer
Methionine metabolism leading to Sulphur Amino Acids and related disorders,Egon Willighagen,disease pathway,biological pathway,Homo sapiens,Methionine metabolism leading to Sulphur Amino Acids and related disorders,glycine N-methyltransferase deficiency
Vitamin B6-dependent and responsive disorders,Egon Willighagen,disease pathway,biological pathway,Homo sapiens,Vitamin B6-dependent and responsive disorders,hypophosphatasia
Pancreatic adenocarcinoma pathway,Egon Willighagen,disease pathway,biological pathway,Homo sapiens,Pancreatic adenocarcinoma pathway,pancreatic adenocarcinoma
Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer,Friederike Ehrhart,microRNA pathway,biological pathway,Homo sapiens,Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer,cancer
Non-small cell lung cancer,Egon Willighagen,disease pathway,biological pathway,Homo sapiens,Non-small cell lung cancer,lung cancer
LncRNA involvement in canonical Wnt signaling and colorectal cancer,Friederike Ehrhart,disease pathway,biological pathway,Homo sapiens,LncRNA involvement in canonical Wnt signaling and colorectal cancer,colorectal cancer
Purine metabolism and related disorders,Daniela Digles,disease pathway,biological pathway,Homo sapiens,Purine metabolism and related disorders,Mal de parkinso
