col0,col1,col2,col3,col4
Siuslaw News,newspaper,Florence,Florence,Siuslaw News
Polk County Itemizer-Observer,newspaper,Dallas,Dallas,Polk County Itemizer-Observer
Nugget Newspaper,newspaper,Sisters,Sisters,Nugget Newspaper
News-Times,newspaper,Forest Grove,Forest Grove,News-Times
News-Register,newspaper,McMinnville,McMinnville,News-Register
Naperville Sun,newspaper,Naperville,Naperville,Naperville Sun
Logan Banner,newspaper,Logan,Logan,Logan Banner
Lebanon Express,newspaper,Lebanon,Lebanon,Lebanon Express
Laramie Boomerang,newspaper,Laramie,Laramie,Laramie Boomerang
Lake County Examiner,newspaper,Lakeview,Lakeview,Lake County Examiner
Keizertimes,newspaper,Keizer,Keizer,Keizertimes
