col0,col1,col2,col3,col4,col5,col6
Sleeping Dogs: Definitive Edition,2014-10-08,Square Enix,True Crime,single-player video game,DVD,United Front Games
Pathologic Classic HD,2015-10-29,Devolver Digital,Pathologic,single-player video game,digital distribution,Ice-Pick Lodge
Age of Empires II: HD Edition,2013-04-09,Xbox Game Studios,Age of Empires,single-player video game,digital distribution,Hidden Path Entertainment
Sleeping Dogs: Definitive Edition,2014-10-08,Square Enix,True Crime,single-player video game,DVD,Feral Interactive
The Last of Us Remastered,2014-07-29,Sony Interactive Entertainment,The Last of Us,single-player video game,Blu-ray Disc,Naughty Dog
Age of Empires II: HD Edition,2013-04-09,Xbox Game Studios,Age of Empires,single-player video game,digital distribution,Ensemble Studios
Zombie Army Trilogy,2015-03-06,Rebellion Developments,Sniper Elite,single-player video game,digital distribution,Rebellion Developments
Mirai Nikki: 13ninme no Nikki Shoyuusha RE:WRITE,2012-04-26,Kadokawa Shoten,Future Diary,single-player video game,Universal Media Disc,Kadokawa Shoten
Sleeping Dogs: Definitive Edition,2014-10-08,Feral Interactive,True Crime,single-player video game,DVD,Feral Interactive
Final Fantasy Type-0 HD,2015-03-17,Square Enix,Fabula Nova Crystallis Final Fantasy,single-player video game,digital distribution,Square Enix
Jet Set Radio HD,2012-09-18,Sega,Jet Set Radio,single-player video game,Google Play,Smilebit
Darksiders Warmastered Edition,2016-11-22,THQ Nordic,Darksiders,single-player video game,digital distribution,Vigil Games
Worms World Party Remastered,2015-07-16,Team17,Worms,multiplayer video game,Humble Store,Team17
