col0,col1,col2,col3,col4,col5,col6
"Federal popular initiative ""to fight the economic crisis and its effects""",voting,992667,1194129,no,1007285,425242
"Federal popular initiative ""against excessive remunerations""",submission of signatures,2378159,5174680,yes,2418825,761975
"Swiss electoral system referendum, 1910",submission of signatures,448587,936336,yes,463302,149035
"Federal popular initiative ""against excessive remunerations""",start of the signature collection,2378159,5174680,yes,2418825,761975
"Swiss electoral system referendum, 1910",start of the signature collection,448587,936336,yes,463302,149035
"Federal popular initiative ""against excessive remunerations""",voting,2378159,5174680,yes,2418825,761975
"Swiss electoral system referendum, 1910",voting,448587,936336,yes,463302,149035
"Federal popular initiative ""for the protection against gun violence""",voting,2479124,5091652,no,2501260,1083312
"Swiss animal protection referendum, 1893",submission of signatures,318628,668913,yes,328983,127101
"Federal popular initiative ""against the construction of minarets""",submission of signatures,2669450,5039676,yes,2709287,1134440
"Swiss animal protection referendum, 1893",start of the signature collection,318628,668913,yes,328983,127101
