col0,col1,col2,col3,col4
Academy Square,bus stop,United States of America,2018-08-13,300 North
300 North,bus stop,United States of America,2018-08-13,Center Street
Center Street,bus stop,United States of America,2018-08-13,400 South
East Bay South,bus stop,United States of America,2018-08-13,East Bay North
East Bay North,bus stop,United States of America,2018-08-13,East Bay South
Towne Centre Boulevard,bus stop,United States of America,2018-08-13,East Bay North
400 South,bus stop,United States of America,2018-08-13,Center Street
Lakeview,bus stop,United States of America,2018-08-13,UVU
UVU,bus stop,United States of America,2018-08-13,Lakeview
East Bay South,bus rapid transit,United States of America,2018-08-13,Provo Towne Centre
East Bay North,bus rapid transit,United States of America,2018-08-13,Provo Towne Centre
Towne Centre Boulevard,bus rapid transit,United States of America,2018-08-13,Provo
