col0,col1,col2,col3,col4
Hurricane Ione,Category 3 hurricane,954,1974 Pacific hurricane season,Pacific hurricane
Hurricane Connie,Category 3 hurricane,942,1974 Pacific hurricane season,Pacific hurricane
Hurricane Hyacinth,Category 3 hurricane,962,1972 Pacific hurricane season,Pacific hurricane
Hurricane Gwen,Category 3 hurricane,941,1972 Pacific hurricane season,Pacific hurricane
Hurricane Fernanda,Category 3 hurricane,948,1972 Pacific hurricane season,Pacific hurricane
Hurricane Priscilla,Category 3 hurricane,951,1971 Pacific hurricane season,Pacific hurricane
Hurricane Monica,Category 3 hurricane,1005,1971 Pacific hurricane season,Pacific hurricane
Hurricane Ilsa,Category 3 hurricane,978,1971 Pacific hurricane season,Pacific hurricane
Hurricane Francesca,Category 3 hurricane,991,1971 Pacific hurricane season,Pacific hurricane
Hurricane Ellen,Category 3 hurricane,962,1973 Atlantic hurricane season,Atlantic hurricane
Hurricane Becky,Category 3 hurricane,977,1974 Atlantic hurricane season,Atlantic hurricane
Hurricane Frances,Category 3 hurricane,963,1976 Atlantic hurricane season,Atlantic hurricane
Hurricane Frances,Category 3 hurricane,958,1980 Atlantic hurricane season,Atlantic hurricane
